,material_id,nsites,nelements,chemsys,band_gap,spacegroup.crystal_system,spacegroup.number,spacegroup.point_group
7926,mp-610687,12,3,Ce-Ru-Sn,0.0,monoclinic,12,2/m
7927,mp-6182,22,4,Cs-Cu-Se-Tb,1.3034,orthorhombic,63,mmm
7928,mp-623092,60,3,Au-Gd-O,1.8748999999999998,orthorhombic,60,mmm
7929,mp-626256,32,3,H-N-O,3.7039,orthorhombic,33,mm2
7930,mp-6290,44,4,In-Na-O-P,3.7446,monoclinic,14,2/m
7931,mp-6353,52,4,C-N-Si-Y,3.117,monoclinic,14,2/m
7932,mp-637431,22,3,Eu-O-Ru,0.0,cubic,227,m-3m
7933,mp-638100,48,4,Ce-P-S-Tl,0.23289999999999988,monoclinic,14,2/m
7934,mp-6397,26,4,Ca-Na-O-S,5.4956000000000005,monoclinic,15,2/m
7935,mp-640163,28,3,C-Co-W,0.0,cubic,227,m-3m
7936,mp-642238,36,3,Ag-Te-Y,0.0,orthorhombic,62,mmm
7937,mp-644827,44,3,Cl-P-Te,1.7979,orthorhombic,46,mm2
7938,mp-647205,29,3,B-Ni-Sc,0.0,cubic,225,m-3m
7939,mp-653429,42,4,Cl-Fe-Mn-O,1.0754,cubic,225,m-3m
7940,mp-662556,28,3,Br-Re-Te,1.9379,tetragonal,82,-4
7941,mp-667295,46,3,Br-Cd-Cs,2.9374000000000002,tetragonal,140,4/mmm
7942,mp-669387,30,3,P-Rh-Sr,0.0,tetragonal,113,-42m
7943,mp-669594,32,2,Ga-Pr,0.0,tetragonal,130,4/mmm
7944,mp-676250,7,3,Bi-Pb-Te,0.5150000000000006,trigonal,166,-3m
7945,mp-677,6,2,Cd-Sr,0.0,orthorhombic,74,mmm
7946,mp-6779,15,4,Ba-Cu-O-Pr,0.0,orthorhombic,65,mmm
7947,mp-680536,36,2,Ce-Ir,0.0,orthorhombic,62,mmm
7948,mp-698032,44,3,H-Na-Ru,2.519,tetragonal,136,4/mmm
7949,mp-705134,136,3,In-Mo-O,3.7072000000000003,monoclinic,14,2/m
7950,mp-706336,74,6,Be-H-Na-O-Si-Sn,4.076599999999999,monoclinic,15,2/m
7951,mp-7072,5,3,Co-Si-Th,0.0,tetragonal,139,4/mmm
7952,mp-720294,116,4,As-H-N-O,4.1749,monoclinic,14,2/m
7953,mp-7243,4,3,Li-Pd-Sn,0.0,cubic,225,m-3m
7954,mp-7276,10,3,S-Sc-U,0.0,orthorhombic,63,mmm
7955,mp-733,9,2,Ge-O,3.2645999999999997,trigonal,152,32
7956,mp-7353,44,2,Cu-Hf,0.0,orthorhombic,62,mmm
7957,mp-741045,136,5,Al-H-Na-O-P,4.4207,orthorhombic,57,mmm
7958,mp-7436,6,3,Cu-K-Te,0.6029999999999998,hexagonal,194,6/mmm
7959,mp-757102,28,3,O-Rh-Sr,0.0,tetragonal,142,4/mmm
7960,mp-758742,28,4,H-K-N-Y,2.703,monoclinic,15,2/m
7961,mp-766175,30,6,B-H-In-O-P-Rb,4.0524,triclinic,2,-1
7962,mp-771,2,2,Al-Mn,0.0,tetragonal,123,4/mmm
7963,mp-774,6,2,Ca-Ni,0.0,hexagonal,191,6/mmm
7964,mp-7769,5,3,N-S-Th,1.5541,trigonal,164,-3m
7965,mp-7882,5,3,Ag-Ba-Sn,0.0,tetragonal,139,4/mmm
7966,mp-7918,6,3,Ge-Hf-S,0.0,tetragonal,129,4/mmm
7967,mp-7942,4,3,Na-S-Ti,0.0,trigonal,166,-3m
7968,mp-8127,11,4,C-K-Mg-O,4.0703,trigonal,166,-3m
7969,mp-842,6,2,Ca-Pt,0.0,cubic,227,m-3m
7970,mp-8446,8,3,Cu-K-P,1.145,orthorhombic,63,mmm
7971,mp-851,2,2,Er-Pd,0.0,cubic,221,m-3m
7972,mp-8581,5,3,P-Rh-Sr,0.0,tetragonal,139,4/mmm
7973,mp-8585,22,3,Au-F-Pd,0.6227999999999999,monoclinic,14,2/m
7974,mp-863731,20,4,Cl-H-In-N,3.6373999999999995,tetragonal,88,4/m
7975,mp-864699,24,2,Nd-Rh,0.0,hexagonal,194,6/mmm
7976,mp-8651,5,3,Al-Gd-Si,0.0,trigonal,164,-3m
7977,mp-865973,14,4,F-H-P-Pb,5.4789,triclinic,2,-1
7978,mp-866313,32,4,B-Ba-In-O,3.5039,trigonal,148,-3
7979,mp-867203,10,3,As-Cd-Sr,1.0660000000000003,orthorhombic,36,mm2
7980,mp-867851,12,3,Au-Rb-Tl,0.0,orthorhombic,51,mmm
7981,mp-8720,10,3,Mn-Rb-Te,0.0,orthorhombic,72,mmm
7982,mp-8723,12,2,As-F,4.628,hexagonal,194,6/mmm
7983,mp-8761,8,3,C-Co-Nd,0.0,monoclinic,9,m
7984,mp-892,2,2,Pt-Sc,0.0,cubic,221,m-3m
7985,mp-9125,9,3,Ca-O-Sb,2.7316999999999996,trigonal,162,-3m
7986,mp-9321,7,3,Ba-Hf-S,0.9290999999999996,tetragonal,139,4/mmm
7987,mp-9362,4,3,Pr-Rb-S,2.3579999999999997,trigonal,166,-3m
7988,mp-9467,92,5,Ca-Mg-Na-O-P,5.1509,trigonal,161,3m
7989,mp-962,6,2,Sm-Zn,0.0,orthorhombic,74,mmm
7990,mp-972235,22,3,B-Fe-Tb,0.0,orthorhombic,63,mmm
7991,mp-9732,9,3,Ba-Na-P,0.8556000000000004,hexagonal,189,-6m2
7992,mp-974030,24,2,La-Rh,0.0,hexagonal,194,6/mmm
7993,mp-974482,21,3,Hf-K-O,3.2739999999999996,trigonal,164,-3m
7994,mp-975271,14,3,Rb-Se-Ti,0.0,monoclinic,12,2/m
7995,mp-975634,20,3,Ge-Pr-Rh,0.0,orthorhombic,72,mmm
7996,mp-979972,9,3,Al-Cu-Sm,0.0,hexagonal,189,-6m2
7997,mp-9926,8,3,F-Rh-Sr,0.0,trigonal,166,-3m
7998,mp-9961,8,3,C-Cd-Ti,0.0,hexagonal,194,6/mmm
7999,mp-999288,4,3,Pr-Te-Tl,0.8694000000000006,trigonal,166,-3m
8000,mp-1018107,3,2,Te-Zr,0.0,trigonal,164,-3m
8001,mp-1018134,3,1,Li,0.0,trigonal,166,-3m
8002,mp-1018148,3,2,Au-Sc,0.0,tetragonal,139,4/mmm
8003,mp-1018154,3,2,Hf-Hg,0.0,tetragonal,139,4/mmm
8004,mp-1018675,6,2,Dy-S,0.0,tetragonal,129,4/mmm
8005,mp-1018709,6,3,Ga-Hf-Sb,0.0,tetragonal,115,-42m
8006,mp-1019257,6,3,Ga-Sm-Zn,0.0,hexagonal,194,6/mmm
8007,mp-1019317,6,2,B-Tc,0.0,hexagonal,194,6/mmm
8008,mp-1019560,36,3,B-Ca-O,4.7106,orthorhombic,19,222
8009,mp-1020627,36,4,Al-Li-N-Sr,2.9415000000000004,triclinic,2,-1
8010,mp-1020646,28,5,B-Li-Na-O-P,5.841900000000001,triclinic,2,-1
8011,mp-1020647,60,5,B-Be-Li-O-Sr,4.7198,monoclinic,14,2/m
8012,mp-1025069,6,2,Pr-Sn,0.0,orthorhombic,65,mmm
8013,mp-1025105,6,3,Al-Ge-Lu,0.0,orthorhombic,63,mmm
8014,mp-1025348,7,3,P-Pd-Tl,0.0,tetragonal,123,4/mmm
8015,mp-1025519,8,3,Cu-Rb-S,0.0,tetragonal,123,4/mmm
8016,mp-10318,20,3,Co-Si-Tb,0.0,monoclinic,15,2/m
8017,mp-1037,6,2,Pr-Pt,0.0,hexagonal,191,6/mmm
8018,mp-1040,28,2,Cd-Rb,0.0,cubic,226,m-3m
8019,mp-10509,16,5,B-Ba-F-Ga-O,4.97,hexagonal,176,6/m
8020,mp-10519,12,3,Cu-S-Sn,0.04070000000000018,monoclinic,9,m
8021,mp-10566,14,3,B-C-Lu,0.0,orthorhombic,63,mmm
8022,mp-1063607,16,3,Cr-O-Pd,0.0,trigonal,166,2/m
8023,mp-1066791,4,3,S-Tl-Tm,1.4830999999999999,trigonal,166,-3m
8024,mp-1068164,5,3,In-Ni-Tb,0.0,orthorhombic,65,mmm
8025,mp-1069147,5,3,Fe-Ge-Pr,0.0,tetragonal,107,4mm
8026,mp-1069765,5,3,Rh-Si-Sm,0.0,tetragonal,107,4mm
8027,mp-1070135,5,3,Er-Mg-Ru,0.0,tetragonal,139,4/mmm
8028,mp-1070146,5,3,Dy-Ir-Si,0.0,tetragonal,107,4mm
8029,mp-1071453,6,2,Bi-Nd,0.0,tetragonal,139,4/mmm
8030,mp-1072087,6,2,Au-La,0.0,orthorhombic,74,mmm
8031,mp-1077109,6,3,Pt-Si-Sm,0.0,tetragonal,109,4mm
8032,mp-1077442,6,2,Au-Ce,0.0,orthorhombic,74,mmm
8033,mp-10778,4,3,Pr-Rb-Se,1.9798000000000002,trigonal,166,-3m
8034,mp-1077830,6,3,Ge-Pr-Rh,0.0,trigonal,166,-3m
8035,mp-1077950,7,3,Pd-S-Tl,0.0,trigonal,166,-3m
8036,mp-1078231,10,3,Ga-Rh-Sr,0.0799000000000003,orthorhombic,70,mmm
8037,mp-1078268,8,3,B-C-Pr,0.0,monoclinic,12,2/m
8038,mp-1078552,9,3,H-Li-Pt,3.0845,cubic,225,m-3m
8039,mp-1078613,8,2,Dy-Pt,0.0,orthorhombic,62,mmm
8040,mp-1078634,10,3,Fe-La-O,1.9641000000000002,trigonal,167,-3m
8041,mp-1078674,9,3,Hg-Pd-Pr,0.0,hexagonal,189,-6m2
8042,mp-1078712,8,3,C-Hf-Tl,0.0,hexagonal,194,6/mmm
8043,mp-1078736,10,3,Ni-Pr-Sb,0.0,tetragonal,129,4/mmm
8044,mp-1078797,8,3,Mn-Si-Sm,0.0,orthorhombic,63,mmm
8045,mp-1078827,9,3,Rh-Sn-Y,0.0,hexagonal,189,-6m2
8046,mp-1078866,10,3,B-C-Y,0.0,tetragonal,127,4/mmm
8047,mp-1079423,9,3,Ho-Ir-Sn,0.0,hexagonal,189,-6m2
8048,mp-1079595,8,3,In-Nd-Ni,0.0,orthorhombic,51,mmm
8049,mp-1080680,9,3,Cd-Sn-Yb,0.0,hexagonal,189,-6m2
8050,mp-10856,10,3,B-C-Er,0.0,tetragonal,127,4/mmm
8051,mp-10894,4,3,Al-Mn-Rh,0.0,cubic,225,m-3m
8052,mp-10914,48,3,Cu-K-O,1.5514,monoclinic,14,2/m
8053,mp-1094085,5,3,N-Nd-Sn,0.0,cubic,221,m-3m
8054,mp-1095136,10,3,B-La-Os,0.0,orthorhombic,70,mmm
8055,mp-1095149,8,3,Bi-La-Li,0.0,tetragonal,129,4/mmm
8056,mp-1095274,12,3,As-Li-Yb,0.9925999999999999,orthorhombic,62,mmm
8057,mp-1095425,12,3,Eu-Li-Sb,0.0,orthorhombic,62,mmm
8058,mp-1095484,12,3,Al-Ni-Pr,0.0,orthorhombic,63,mmm
8059,mp-1095485,12,4,Ba-Ge-O-P,4.1787,monoclinic,12,2/m
8060,mp-1095499,12,3,Au-Cl-Cs,1.8897,monoclinic,15,2/m
8061,mp-1095517,12,3,Eu-Ir-P,0.0,cubic,198,23
8062,mp-1095583,12,3,Dy-Ga-Pt,0.0,orthorhombic,62,mmm
8063,mp-1101968,12,2,Ho-Tc,0.0,hexagonal,194,6/mmm
8064,mp-1101982,12,3,Co-P-V,0.0,orthorhombic,62,mmm
8065,mp-1102,2,2,Lu-N,0.3793000000000002,cubic,225,m-3m
8066,mp-1102049,12,2,Be-Ta,0.0,trigonal,166,-3m
8067,mp-1102110,12,3,Ge-Pt-Tm,0.0,orthorhombic,62,mmm
8068,mp-1102160,12,3,Eu-Ga-Sn,0.0,hexagonal,194,6/mmm
8069,mp-1102191,12,3,Al-Au-Dy,0.0,orthorhombic,62,mmm
8070,mp-1102531,12,3,P-Rh-Se,1.1892000000000005,cubic,198,23
8071,mp-1103115,12,3,Ge-Ni-Pr,0.0,orthorhombic,62,mmm
8072,mp-1103162,12,3,Pd-Si-Ti,0.0,orthorhombic,62,mmm
8073,mp-1103463,12,3,Ge-Rh-Sm,0.0,orthorhombic,62,mmm
8074,mp-1103503,12,3,Gd-Pd-Sn,0.0,orthorhombic,62,mmm
8075,mp-1103570,14,2,Ca-Pt,0.0,monoclinic,15,2/m
8076,mp-1104,2,2,La-Mg,0.0,cubic,221,m-3m
8077,mp-1104036,14,4,Gd-N-O-Se,1.754,monoclinic,12,2/m
8078,mp-1104160,14,2,Ir-Pr,0.0,monoclinic,15,2/m
8079,mp-1104177,15,2,Pr-Pt,0.0,trigonal,148,-3
8080,mp-1104662,14,2,Pt-Yb,0.0,monoclinic,15,2/m
8081,mp-1104693,14,4,C-Ca-H-Li,1.3140000000000005,tetragonal,127,4/mmm
8082,mp-1105005,38,4,Cl-Ni-O-Se,3.1206000000000005,monoclinic,12,2/m
8083,mp-1105128,19,3,B-Co-Ho,0.0,trigonal,166,-3m
8084,mp-1105260,20,4,Ge-In-Rh-Tb,0.0,monoclinic,12,2/m
8085,mp-1105777,20,3,Ir-Sb-U,0.0,cubic,220,-43m
8086,mp-1105808,20,3,Er-I-Ir,0.3924999999999996,trigonal,148,-3
8087,mp-1106056,17,3,Ba-Os-Sb,0.0,cubic,204,m-3
8088,mp-1106280,18,3,Ca-H-Sn,0.0,tetragonal,140,4/mmm
8089,mp-11145,28,3,Ba-Cu-Ge,0.0,tetragonal,140,4/mmm
8090,mp-11227,13,2,Al-W,0.0,cubic,204,m-3
8091,mp-11273,12,2,Be-Nb,0.0,trigonal,166,-3m
8092,mp-1138,2,2,F-Li,8.7195,cubic,225,m-3m
8093,mp-1146,12,2,S-Th,1.0335999999999999,orthorhombic,62,mmm
8094,mp-1148,6,2,Pd-Th,0.0,tetragonal,140,4/mmm
8095,mp-11526,6,2,Ni-Tm,0.0,hexagonal,191,6/mmm
8096,mp-11538,9,3,Al-Ni-Tb,0.0,hexagonal,189,-6m2
8097,mp-11566,2,2,Sc-Zn,0.0,cubic,221,m-3m
8098,mp-11634,14,4,Ge-K-Se-Sm,1.6327,monoclinic,4,2
8099,mp-1168,12,2,Hf-Te,0.0,orthorhombic,63,mmm
8100,mp-11693,4,2,Pt-Te,0.0,trigonal,166,-3m
8101,mp-11694,9,3,Cs-Pd-Se,1.1455,orthorhombic,69,mmm
8102,mp-11696,10,2,As-W,0.0,monoclinic,12,2/m
8103,mp-11778,10,3,Mn-Se-Th,0.0,orthorhombic,63,mmm
8104,mp-1180133,9,4,Ca-H-Ir-Na,3.5325,cubic,216,-43m
8105,mp-1181055,16,2,Ho-Tl,0.0,hexagonal,193,6/mmm
8106,mp-1181438,16,3,Au-Bi-Er,0.0,tetragonal,140,4/mmm
8107,mp-1187892,9,3,H-Ru-Yb,2.5962,cubic,225,m-3m
8108,mp-11879,5,3,Ba-Ni-Sn,0.0,tetragonal,107,4mm
8109,mp-1188957,20,3,Br-Ir-Te,1.2675,trigonal,167,-3m
8110,mp-1189478,16,2,Er-Ir,0.0,orthorhombic,62,mmm
8111,mp-1189686,16,2,Ir-Nd,0.0,orthorhombic,62,mmm
8112,mp-1189978,18,3,Ga-Hf-Sn,0.0,hexagonal,193,6/mmm
8113,mp-1190,2,2,Se-Zn,1.6143,cubic,216,-43m
8114,mp-1190011,16,2,Ho-Os,0.0,orthorhombic,62,mmm
8115,mp-1190212,16,2,Pt-Yb,0.0,hexagonal,193,6/mmm
8116,mp-1190340,23,5,Ba-Fe-O-Si-Ta,2.5772,trigonal,150,32
8117,mp-1190370,22,4,Ag-Cs-Nd-Te,1.0241000000000002,orthorhombic,63,mmm
8118,mp-1190466,50,4,Bi-Co-O-S,2.3499999999999996,monoclinic,5,1
8119,mp-1190566,24,4,F-O-S-Tl,4.4638,orthorhombic,62,mmm
8120,mp-1190831,22,3,Eu-O-Sb,0.0,orthorhombic,63,mmm
8121,mp-1191013,24,4,Al-Gd-Mn-S,0.2890000000000006,hexagonal,173,6
8122,mp-1191051,24,3,B-Fe-U,0.0,orthorhombic,55,mmm
8123,mp-1191068,24,3,N-V-Zn,0.0,cubic,213,432
8124,mp-1191138,24,3,Bi-Ga-La,0.0,hexagonal,191,6/mmm
8125,mp-1191206,22,3,Hg-K-Se,1.3845999999999998,hexagonal,186,6mm
8126,mp-1191273,24,3,Ge-Ni-Tb,0.0,orthorhombic,62,mmm
8127,mp-1191301,24,3,Au-Ga-Rb,0.0,orthorhombic,62,mmm
8128,mp-1191459,22,4,B-K-O-Zn,4.595,triclinic,2,-1
8129,mp-1191537,24,3,Ni-Sn-Yb,0.0,tetragonal,83,4/m
8130,mp-1192231,24,3,Cu-I-O,0.9538,orthorhombic,62,mmm
8131,mp-1192470,30,3,C-Mg-Pr,0.0,cubic,225,m-3m
8132,mp-1192595,28,3,Ba-Se-Sn,1.2625000000000002,monoclinic,14,2/m
8133,mp-1192935,28,2,Cu-Pu,0.0,orthorhombic,62,mmm
8134,mp-1192952,28,3,Be-Cu-La,0.0,cubic,226,m-3m
8135,mp-1193123,28,3,La-Rh-Sn,0.0,orthorhombic,62,mmm
8136,mp-1193482,28,3,Co-Dy-Ga,0.0,orthorhombic,63,mmm
8137,mp-1193748,28,3,Al-Cs-Te,2.1643,monoclinic,14,2/m
8138,mp-1194135,28,3,Cs-Er-I,2.8905,hexagonal,194,6/mmm
8139,mp-1194338,30,4,B-F-Na-O,6.2989999999999995,monoclinic,15,2/m
8140,mp-1194433,30,4,K-Na-O-Os,0.0,hexagonal,194,6/mmm
8141,mp-1194520,44,3,Al-Rb-S,3.0153999999999996,orthorhombic,33,mm2
8142,mp-1194887,56,2,As-Ca,0.6867999999999999,orthorhombic,55,mmm
8143,mp-1195235,76,5,Al-B-Ba-H-O,5.4073,monoclinic,15,2/m
8144,mp-1195333,32,3,Nd-Se-Zr,0.7197000000000005,orthorhombic,62,mmm
8145,mp-1195453,112,4,F-Ni-Sb-Xe,1.6092999999999997,monoclinic,14,2/m
8146,mp-1195892,36,3,F-Fe-Rb,1.5593,orthorhombic,62,mmm
8147,mp-1195909,48,4,Ba-O-Pr-Sc,3.5593000000000004,tetragonal,136,4/mmm
8148,mp-1196123,32,3,Hf-Nd-S,1.0457999999999998,orthorhombic,62,mmm
8149,mp-1196148,32,3,S-Sm-Zr,1.1627,orthorhombic,62,mmm
8150,mp-1196334,120,4,As-Ba-O-U,2.2615,monoclinic,14,2/m
8151,mp-1196459,176,4,Al-Br-Sb-Se,1.8018999999999998,monoclinic,13,2/m
8152,mp-1196550,41,5,Ca-H-Mg-O-Si,4.8366,monoclinic,12,2/m
8153,mp-1196559,52,4,I-O-Sm-V,2.5048000000000004,orthorhombic,57,mmm
8154,mp-1196732,180,4,H-I-O-Rb,3.2462999999999997,monoclinic,14,2/m
8155,mp-1197639,46,3,Cd-Ni-Sm,0.0,cubic,227,m-3m
8156,mp-1197866,48,4,Cs-O-Si-U,0.5817000000000005,orthorhombic,36,mm2
8157,mp-1197952,120,3,Br-Ir-Tb,0.681,tetragonal,88,4/m
8158,mp-1197955,40,3,Gd-Ge-Ru,0.0,cubic,223,m-3m
8159,mp-1198170,36,3,B-Nd-Ru,0.0,tetragonal,142,4/mmm
8160,mp-1198371,108,3,C-Nd-O,0.1071000000000002,hexagonal,174,-6
8161,mp-1198510,80,4,H-N-O-P,5.455100000000001,monoclinic,14,2/m
8162,mp-11992,20,4,Ir-La-Li-O,0.0,monoclinic,14,2/m
8163,mp-1199582,32,3,C-Pr-Re,0.0,hexagonal,189,-6m2
8164,mp-1199625,52,4,H-Hg-N-O,2.3406000000000002,monoclinic,14,2/m
8165,mp-1199735,48,4,Cs-Cu-Te-Y,0.6872999999999996,monoclinic,12,2/m
8166,mp-1199892,48,4,B-Ge-O-Rb,4.586399999999999,orthorhombic,33,mm2
8167,mp-1199934,32,2,As-Ti,0.0,tetragonal,86,4/m
8168,mp-1200153,42,3,Bi-Sn-Yb,0.0,tetragonal,139,4/mmm
8169,mp-1200242,32,3,Ag-Gd-S,1.0874999999999995,monoclinic,4,2
8170,mp-1200754,35,3,In-Nd-Pd,0.0,monoclinic,12,2/m
8171,mp-1200852,36,4,As-Na-O-Ti,2.3987,trigonal,167,-3m
8172,mp-1201130,36,3,Eu-Nb-O,0.20469999999999988,monoclinic,14,2/m
8173,mp-1201210,104,4,Cl-H-In-O,3.7108,monoclinic,14,2/m
8174,mp-1201357,32,3,Cs-Te-Tm,0.9725999999999999,monoclinic,12,2/m
8175,mp-1201364,106,3,Al-Cr-U,0.0,hexagonal,193,6/mmm
8176,mp-1201442,42,3,O-Si-Tl,3.1724,monoclinic,15,2/m
8177,mp-1201686,36,4,Mo-O-Se-Tl,2.3967,trigonal,159,3m
8178,mp-1202384,68,4,H-N-O-U,1.9514999999999998,monoclinic,14,2/m
8179,mp-1202505,36,4,Cl-Cs-O-Re,2.3472,orthorhombic,62,mmm
8180,mp-1202632,52,4,B-Cl-O-Tm,4.7638,monoclinic,14,2/m
8181,mp-1202692,36,4,B-Cl-Eu-O,0.33840000000000003,orthorhombic,20,222
8182,mp-1202969,32,3,I-Se-Tc,0.8007,monoclinic,14,2/m
8183,mp-1203568,52,4,Cl-P-S-Ti,1.8405,monoclinic,14,2/m
